candidate,k,n_basis_truncated,n_basis_native,n_basis_actual,seed,sigma_final,sigma_fs_identity,residual_donaldson,iterations_run,elapsed_s
TY,3,15,87,15,42,9.1653462013e0,7.3724426669e0,5.4551943551e-4,9,0.062865
TY,3,15,87,15,100,3.0666713118e0,3.0377812867e0,6.6652995859e-4,8,0.049196
TY,3,20,87,20,42,7.7190653848e0,3.9137930091e0,5.0961695299e-4,10,0.063380
TY,3,20,87,20,100,2.7352138560e0,2.8881249797e0,5.0470756648e-4,10,0.059758
TY,3,25,87,25,42,6.1660697245e0,3.1382423107e0,6.0285128154e-4,9,0.073991
TY,3,25,87,25,100,2.4099863885e0,2.4241405483e0,5.0637914617e-4,8,0.068394
TY,3,27,87,27,42,8.8774859466e0,1.6142682116e1,5.3358570387e-4,10,0.088353
TY,3,27,87,27,100,2.0732202249e0,2.3158937707e0,7.9500987032e-4,9,0.086708
TY,3,35,87,35,42,3.8703644080e0,6.1569011848e0,6.2085213795e-4,10,0.114579
TY,3,35,87,35,100,1.9104184033e0,2.0327266178e0,9.6404479974e-4,9,0.105821
TY,3,50,87,50,42,1.6966889523e0,1.9377822468e0,6.8841686116e-4,10,0.200384
TY,3,50,87,50,100,1.2776807157e0,1.4785111125e0,5.5463861375e-4,10,0.202926
TY,3,87,87,87,42,2.9017882796e-1,3.9764808113e-1,4.4013147174e-4,8,0.426363
TY,3,87,87,87,100,2.8979398629e-1,4.2169379769e-1,9.6831594849e-4,8,0.426746
TY,3,-1,87,87,42,2.9017882796e-1,3.9764808113e-1,4.4013147174e-4,8,0.421483
TY,3,-1,87,87,100,2.8979398629e-1,4.2169379769e-1,9.6831594849e-4,8,0.434147
Schoen,3,15,27,15,42,7.4002188008e0,5.3770557903e0,7.4184411167e-3,10,0.047188
Schoen,3,15,27,15,100,1.0361980279e1,7.4633500361e0,2.3194149736e-3,10,0.048594
Schoen,3,20,27,20,42,7.4733955478e0,4.0785997590e0,6.0942342160e-3,10,0.061511
Schoen,3,20,27,20,100,8.5897787717e0,6.7329878007e0,6.3222927252e-3,10,0.057747
Schoen,3,25,27,25,42,3.0704474842e0,2.0130309626e0,9.0127311087e-3,10,0.076467
Schoen,3,25,27,25,100,2.0192643974e0,1.5185243611e0,7.4851133529e-3,10,0.076892
Schoen,3,27,27,27,42,2.7601487123e0,1.6656685927e0,9.1255733175e-3,10,0.087334
Schoen,3,27,27,27,100,1.8396693078e0,1.2341685630e0,7.2063950598e-3,10,0.086385
Schoen,3,-1,27,27,42,2.7601487123e0,1.6656685927e0,9.1255733175e-3,10,0.090614
Schoen,3,-1,27,27,100,1.8396693078e0,1.2341685630e0,7.2063950598e-3,10,0.088220
